time,num
8.4546070098877,1
21.4632682800293,2
46.4017066955566,3
46.4178504943848,4
86.4990234375,5
129.202178955078,6
129.38395690918,7
131.887435913086,8
131.90397644043,9
131.920532226563,10
132.004959106445,11
133.903793334961,12
133.920913696289,13
141.010116577148,14
145.580001831055,15
162.343765258789,16
162.360885620117,17
172.335159301758,18
172.351669311523,19
172.353057861328,20
184.945419311523,21
184.961944580078,22
184.962783813477,23
186.229537963867,24
186.26318359375,25
218.222961425781,26
233.483551025391,27
237.170059204102,28
254.833908081055,29
254.850921630859,30
254.884262084961,31
254.901062011719,32
254.917694091797,33
254.934860229492,34
259.705383300781,35
264.341888427734,36
264.359039306641,37
264.975860595703,38
264.992309570313,39
276.251556396484,40
278.720855712891,41
278.737762451172,42
282.073272705078,43
287.144409179688,44
327.292572021484,45
327.326568603516,46
340.404205322266,47
354.180633544922,48
361.670471191406,49
361.703277587891,50
381.053283691406,51
384.170959472656,52
384.221282958984,53
384.238616943359,54
387.173400878906,55
387.190948486328,56
393.529998779297,57
393.56201171875,58
412.560577392578,59
412.71240234375,60
413.111145019531,61
413.311767578125,62
418.882690429688,63
422.354461669922,64
436.196350097656,65
436.214141845703,66
436.229919433594,67
436.264495849609,68
442.000762939453,69
442.017761230469,70
